Uokty,8/8/4bp1R/3p4/P2P4/1r2kP2/6PP/6K1 w - - 3 39,h6f6 b3b1,600,81,99,1569,endgame mate mateIn1 oneMove,https://lichess.org/fox8daIB#77,,
akqnY,8/8/p1p1qkp1/4p2p/2P2r2/3r3P/PQ4P1/1R2R1K1 w - - 0 34,e1e5 e6e5 b2e5 f6e5,600,83,99,1650,crushing endgame short,https://lichess.org/GwkFLA9g#67,,
UWZ5I,4r3/ppbk1p2/2p1q3/8/3P3R/2P2Q2/PP1B1PP1/6K1 w - - 1 24,h4h7 e6e1 d2e1 e8e1,680,85,98,2176,endgame master mate mateIn2 sacrifice short,https://lichess.org/HraM35sG#47,,
gnEmt,4r1k1/pp3R1p/2ppQ1pB/4b3/1P2P3/P5P1/6KP/8 b - - 0 28,e8e6 f7f8,692,79,99,1603,endgame mate mateIn1 oneMove,https://lichess.org/5VohO5kE/black#56,,
IVRUj,r1b1k2r/ppp3pp/4p3/3pPp2/2P4q/B1PBPPn1/P1Q3PP/R4K1R w kq - 3 14,h2g3 h4h1 f1f2 h1a1,701,78,99,1565,crushing hangingPiece middlegame short skewer,https://lichess.org/jXHSTdDR#27,Indian_Defense,Indian_Defense_Anti-Nimzo-Indian
2A2l4,2k5/7R/1pK1p3/p1p5/8/PP2r3/8/8 b - - 12 42,e3b3 h7h8,704,81,100,1700,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/J0iSUDKo/black#84,,
3YODJ,2rq2rk/5pp1/3bpn1p/pp2B2P/2pP4/P3PP2/1P1QKPR1/1B4R1 w - - 6 25,g2g7 g8g7 e5f6 d8f6,705,83,98,1881,crushing middlegame short,https://lichess.org/jt5fPUgl#49,,
FWt8l,r3kb1r/pb3ppp/3p4/3pQ1B1/7P/8/PP3PP1/R3KB1R b KQkq - 0 15,d6e5 f1b5 b7c6 b5c6,708,94,93,1745,bodenMate mate mateIn2 middlegame short,https://lichess.org/OVclSox4/black#30,Scotch_Game,Scotch_Game_Mieses_Variation
8F91u,1r6/pp4k1/6p1/6q1/4Qrb1/P2B4/1PP5/1K4RR w - - 2 25,e4e3 f4f1 g1f1 g5e3,729,79,97,1754,advantage discoveredAttack middlegame short,https://lichess.org/nRnmxjpK#49,,
fVQEN,8/PK6/6p1/8/7P/4pk2/1R6/r7 w - - 10 58,a7a8q a1a8 b7a8 e3e2,731,76,97,1531,advancedPawn crushing endgame short,https://lichess.org/ehUXbZO5#115,,
WV4gx,6k1/1r4p1/2N2p2/4p2p/3pn3/6PP/7B/3R2K1 b - - 0 32,g8f7 c6d8 f7e7 d8b7,735,77,99,1543,advantage endgame fork short,https://lichess.org/BqQfj5JL/black#64,,
piqz2,4r3/p2N1p1k/6Pb/8/2p4N/6r1/PP4P1/1K5R b - - 0 33,f7g6 d7f6 h7g7 f6e8,742,76,99,1646,advantage endgame fork short,https://lichess.org/rAcbXWhD/black#66,,
J47ml,8/6p1/1R1Bp1k1/R3Pp2/7p/6bP/4r1P1/6K1 w - - 3 41,g1f1 e2e1,752,78,99,1772,endgame mate mateIn1 oneMove,https://lichess.org/h6m6u0cc#81,,
